name,Username,Congressperson,Chamber,Party,State,Region,Division
141,RepMikeCarey,Mikey Carey,House,R,OH,Midwest,East North Central
142,RepJerryCarl,Jerry L. Carl,House,R,AL,South,East South Central
143,RepAndreCarson,Andre Carson,House,D,IN,Midwest,East North Central
144,RepBuddyCarter,Buddy Carter,House,R,GA,South,South Atlantic
145,JudgeCarter,Judge Carter,House,R,TX,South,West South Central
146,RepTroyCarter,Troy Carter,House,D,LA,South,West South Central
147,RepEdCase,Ed Case,House,D,HI,West,Pacific
148,RepCasten,Sean Casten,House,D,IL,Midwest,East North Central
149,USRepKCastor,Kathy Castor,House,D,FL,South,South Atlantic
150,JoaquinCastrotx,Joaquin Castro,House,D,TX,South,West South Central
151,RepCawthorn,David Cawthorn,House,R,NC,South,South Atlantic
152,RepSteveChabot,Steve Chabot,House,R,OH,Midwest,East North Central
153,RepLizCheney,Liz Cheney,House,R,WY,West,Mountain
154,CongresswomanSC,Sheila Cherfilus-McCormick,House,D,FL,South,South Atlantic
155,RepJudyChu,Judy Chu,House,D,CA,West,Pacific
156,RepKClark,Katherine Clark,House,D,MA,Northeast,New England
157,RepYvetteClarke,Yvette Clarke,House,D,NY,Northeast,Middle Atlantic
158,repcleaver,Emanuel Cleaver,House,D,MO,Midwest,West North Central
159,RepBenCline,Ben Cline,House,R,VA,South,South Atlantic
160,RepCloudTX,Michael Cloud,House,R,TX,South,West South Central
161,WhipClyburn,Jim Clyburn,House,D,SC,South,South Atlantic
162,Rep_Clyde,Andrew Clyde,House,R,GA,South,South Atlantic
163,RepCohen,Steve Cohen,House,D,TN,South,East South Central
164,TomColeOK04,Tom Cole,House,R,OK,South,West South Central
165,RepJamesComer,James Comer,House,R,KY,South,East South Central
166,GerryConnolly,Gerry Connolly,House,D,VA,South,South Atlantic
167,RepLouCorrea,Lou Correa,House,D,CA,West,Pacific
168,RepJimCosta,Jim Costa,House,D,CA,West,Pacific
169,RepJoeCourtney,Joe Courtney,House,D,CT,Northeast,New England
170,RepAngieCraig,Angie Craig,House,D,MN,Midwest,West North Central
171,RepCharlieCrist,Charlie Crist,House,D,FL,South,South Atlantic
172,RepJasonCrow,Jason Crow,House,D,CO,West,Mountain
173,RepJohnCurtis,John Curtis,House,R,UT,West,Mountain
174,RepDavids,Sharice Davids,House,D,KS,Midwest,West North Central
175,WarrenDavidson,Warren Davidson,House,R,OH,Midwest,East North Central
176,RodneyDavis,Rodney Davis,House,R,IL,Midwest,East North Central
177,RepDean,Madeleine Dean,House,D,PA,Northeast,Middle Atlantic
178,RepPeterDeFazio,Peter DeFazio,House,D,OR,West,Pacific
179,RepDianaDeGette,Diane DeGette,House,D,CO,West,Mountain
180,rosadelauro,Rosa Delauro,House,D,CT,Northeast,New England
181,RepDelBene,Suzan DelBene,House,D,WA,West,Pacific
182,repdelgado,Antonio Delgado,House,D,NY,Northeast,Middle Atlantic
183,RepValDemings,Val Demings,House,D,FL,South,South Atlantic
184,RepDeSaulnier,Mark DeSaulnier,House,D,CA,West,Pacific
185,RepTedDeutch,Ted Deutch,House,D,FL,South,South Atlantic
186,MarioDB,Mario Diaz-Balart,House,R,FL,South,South Atlantic
187,RepDebDingell,Deb Dingell,House,D,MI,Midwest,East North Central
188,RepLloydDoggett,Lloyd Doggett,House,D,TX,South,West South Central
189,RepDonaldsPress,Byron Donalds,House,R,FL,South,South Atlantic
190,USRepMikeDoyle,Mike Doyle,House,D,PA,Northeast,Middle Atlantic
191,RepJeffDuncan,Jeff Duncan,House,R,SC,South,South Atlantic
192,DrNealDunnFL2,Neal Dunn,House,R,FL,South,South Atlantic
193,RepTomEmmer,Tom Emmer,House,R,MN,Midwest,West North Central
194,RepEscobar,Veronica Escobar,House,D,TX,South,West South Central
195,RepAnnaEshoo,Ann Eshoo,House,D,CA,West,Pacific
196,RepEspaillat,Andriano Espaillat,House,D,NY,Northeast,Middle Atlantic
197,RepRonEstes,Ron Estes,House,R,KS,Midwest,West North Central
198,RepDwightEvans,Dwight Evans,House,D,PA,Northeast,Middle Atlantic
199,RepPatFallon,Pat Fallon,House,R,TX,South,West South Central
200,RepFeenstra,Randy Feenstra,House,R,IA,Midwest,West North Central
201,RepDrewFerguson,Drew Ferguson,House,R,GA,South,South Atlantic
202,RepFischbach,Michelle Fischbach,House,R,MN,Midwest,West North Central
203,RepBrianFitz,Brian Fitzpatrick,House,R,PA,Northeast,Middle Atlantic
204,RepChuck,Chuck Fleischmann,House,R,TN,South,East South Central
205,RepFletcher,Lizzie Fletcher,House,D,TX,South,West South Central
206,RepBillFoster,Bill Foster,House,D,IL,Midwest,East North Central
207,virginiafoxx,Virginia Foxx,House,R,NC,South,South Atlantic
208,RepLoisFrankel,Lois Frankel,House,D,FL,South,South Atlantic
209,RepFranklin,Scott Franklin,House,R,FL,South,South Atlantic
210,RepRussFulcher,Russ Fulcher,House,R,ID,West,Mountain
211,RepMattGaetz,Matt Gaetz,House,R,FL,South,South Atlantic
212,RepGallagher,Mike Gallagher,House,R,WI,Midwest,East North Central
213,RepRubenGallego,Ruben Gallego,House,D,AZ,West,Mountain
214,RepGaramendi,John Garamendi,House,D,CA,West,Pacific
215,RepGarbarino,Andrew Garbarino,House,R,NY,Northeast,Middle Atlantic
216,RepChuyGarcia,Chuy Garcia,House,D,IL,Midwest,East North Central
217,RepMikeGarcia,Mike Garcia,House,R,CA,West,Pacific
218,RepSylviaGarcia,Sylvia Garcia,House,D,TX,South,West South Central
219,RepBobGibbs,Bob Gibbs,House,R,OH,Midwest,East North Central
220,RepCarlos,Carlos Gimenez,House,R,FL,South,South Atlantic
221,replouiegohmert,Louie Gohmert,House,R,TX,South,West South Central
222,RepGolden,Jared Golden,House,D,ME,Northeast,New England
223,RepJimmyGomez,Jimmy Gomez,House,D,CA,West,Pacific
224,RepTonyGonzales,Tony Gonzales,House,R,TX,South,West South Central
225,RepJenniffer,Jenniffer Gonzalez,House,R,PR,NA,NA
226,RepGonzalez,Vicente Gonzalez,House,D,TX,South,West South Central
227,RepBobGood,Bob Good,House,R,VA,South,South Atlantic
228,Lancegooden,Lance Gooden,House,R,TX,South,West South Central
229,RepGosar,Paul Gosar,House,R,AZ,West,Mountain
230,RepJoshG,Josh Gottheimer,House,D,NJ,Northeast,Middle Atlantic
231,RepKayGranger,Kay Granger,House,R,TX,South,West South Central
232,RepGarretGraves,Garret Graves,House,R,LA,South,West South Central
233,RepAlGreen,Al Green,House,D,TX,South,West South Central
234,RepMarkGreen,Mark Green,House,R,TN,South,East South Central
235,RepMTG,Marjorie Taylor Greene,House,R,GA,South,South Atlantic
236,RepMGriffith,Morgan Griffith,House,R,VA,South,South Atlantic
237,RepRaulGrijalva,Raul Grijalva,House,D,AZ,West,Mountain
238,RepGrothman,Glenn Grothman,House,R,WI,Midwest,East North Central
239,RepMichaelGuest,Michael Guest,House,R,MS,South,East South Central
240,RepGuthrie,Brett Guthrie,House,R,KY,South,East South Central
241,RepJoshHarder,Josh Harder,House,D,CA,West,Pacific
242,RepHarshbarger,Harsh Barger,House,R,TN,South,East South Central
243,RepHartzler,Vicky Hartzler,House,R,MO,Midwest,West North Central
244,RepJahanaHayes,Jahana Hayes,House,D,CT,Northeast,New England
245,repkevinhern,Kevin Hern,House,R,OK,South,West South Central
246,RepHerrell,Yvette Herrell,House,R,NM,West,Mountain
247,CongressmanHice,Jody Hice,House,R,GA,South,South Atlantic
248,RepBrianHiggins,Brian Higgins,House,D,NY,Northeast,Middle Atlantic
249,RepClayHiggins,Clay Higgins,House,R,LA,South,West South Central
250,RepFrenchHill,French Hill,House,R,AR,South,West South Central
251,jahimes,Jim Himes,House,D,CT,Northeast,New England
252,RepAshleyHinson,Ashley Hinson,House,R,IA,Midwest,West North Central
253,RepHorsford,Steven Horsford,House,D,NV,West,Mountain
254,RepHoulahan,Chrissy Houlahan,House,D,PA,Northeast,Middle Atlantic
255,LeaderHoyer,Steny Hoyer,House,D,MD,South,South Atlantic
256,RepRichHudson,Richard Hudson,House,R,NC,South,South Atlantic
257,RepHuffman,Jared Huffman,House,D,CA,West,Pacific
258,RepHuizenga,Bill Huizenga,House,R,MI,Midwest,East North Central
259,repdarrellissa,Darrell Issa,House,R,CA,West,Pacific
260,JacksonLeeTX18,Jackson Lee,House,D,TX,South,West South Central
261,RepRonnyJackson,Ronny Jackson,House,R,TX,South,West South Central
262,RepJacobs,Chris Jacobs,House,R,NY,Northeast,Middle Atlantic
263,RepSaraJacobs,Sara Jacobs,House,D,CA,West,Pacific
264,RepJayapal,Pramila Jayapal,House,D,WA,West,Pacific
265,RepJeffries,Hakeem Jeffries,House,D,NY,Northeast,Middle Atlantic
266,RepBillJohnson,Bill Johnson,House,R,OH,Midwest,East North Central
267,RepDustyJohnson,Dusty Johnson,House,R,SD,Midwest,West North Central
268,RepEBJ,Eddie Bernice Johnson,House,D,TX,South,West South Central
269,RepHankJohnson,Hank Johnson,House,D,GA,South,South Atlantic
270,RepMikeJohnson,Mike Johnson,House,R,LA,South,West South Central
271,RepMondaire,Mondaire Jones,House,D,NY,Northeast,Middle Atlantic
272,Jim_Jordan,Jim Jordan,House,R,OH,Midwest,East North Central
273,RepDaveJoyce,David Joyce,House,R,OH,Midwest,East North Central
274,RepJohnJoyce,John Joyce,House,R,PA,Northeast,Middle Atlantic
275,RepJohnKatko,John Katko,House,R,NY,Northeast,Middle Atlantic
276,USRepKeating,Bill Keating,House,D,MA,Northeast,New England
277,RepFredKeller,Fred Keller,House,R,PA,Northeast,Middle Atlantic
278,MikeKellyPA,Mike Kelly,House,R,PA,Northeast,Middle Atlantic
279,RepRobinKelly,Robin Kelly,House,D,IL,Midwest,East North Central
280,RepRoKhanna,Ro Khanna,House,D,CA,West,Pacific
281,RepDanKildee,Dan Kildee,House,D,MI,Midwest,East North Central
282,RepDerekKilmer,Derek Kilmer,House,D,WA,West,Pacific
283,RepAndyKimNJ,Andy Kim,House,D,NJ,Northeast,Middle Atlantic
284,RepYoungKim,Young Kim,House,R,CA,West,Pacific
285,RepRonKind,Ron Kind,House,D,WI,Midwest,East North Central
286,RepKirkpatrick,Ann Kirkpatrick,House,D,AZ,West,Mountain
287,CongressmanRaja,Raja Krishnamoorthi,House,D,IL,Midwest,East North Central
288,RepAnnieKuster,Annie Kuster,House,D,NH,Northeast,New England
289,RepDavidKustoff,David Kustoff,House,R,TN,South,East South Central
290,RepLaHood,Darin LaHood,House,R,IL,Midwest,East North Central
291,RepLaMalfa,Doug LaMalfa,House,R,CA,West,Pacific
292,JimLangevin,Jim Langevin,House,D,RI,Northeast,New England
293,RepRickLarsen,Rick Larsen,House,D,WA,West,Pacific
294,RepJohnLarson,John Larson,House,D,CT,Northeast,New England
295,boblatta,Bob Latta,House,R,OH,Midwest,East North Central
296,RepLaTurner,Jake LaTurner,House,R,KS,Midwest,West North Central
297,RepLawrence,Brenda Lawrence,House,D,MI,Midwest,East North Central
298,RepAlLawsonJr,Al Lawson,House,D,FL,South,South Atlantic
299,RepBarbaraLee,Barbara Lee,House,D,CA,West,Pacific
300,RepSusieLee,Susie Lee,House,D,NV,West,Mountain
301,RepTeresaLF,Teresa Leger Fernandez,House,D,NM,West,Mountain
302,RepDLesko,Debbie Lesko,House,R,AZ,West,Mountain
303,RepJuliaLetlow,Julia Letlow,House,R,LA,South,West South Central
304,RepAndyLevin,Andy Levin,House,D,MI,Midwest,East North Central
305,RepMikeLevin,Mike Levin,House,D,CA,West,Pacific
306,RepTedLieu,Ted Lieu,House,D,CA,West,Pacific
307,USRepLong,Billy Long,House,R,MO,Midwest,West North Central
308,RepLoudermilk,Barry Loudermilk,House,R,GA,South,South Atlantic
309,RepLowenthal,Alan Lowenthal,House,D,CA,West,Pacific
310,RepFrankLucas,Frank Lucas,House,R,OK,South,West South Central
311,RepBlaine,Blaine Luetkemeyer,House,R,MO,Midwest,West North Central
312,RepElaineLuria,Elaine Luria,House,D,VA,South,South Atlantic
313,RepNancyMace,Nancy Mace,House,R,SC,South,South Atlantic
314,RepMalinowski,Tom Malinowski,House,D,NJ,Northeast,Middle Atlantic
315,RepMalliotakis,Nicole Malliotakis,House,R,NY,Northeast,Middle Atlantic
316,RepMaloney,Carolyn Maloney,House,D,NY,Northeast,Middle Atlantic
317,RepSeanMaloney,Sean Maloney,House,D,NY,Northeast,Middle Atlantic
318,RepKManning,Kathy Manning,House,D,NC,South,South Atlantic
319,RepThomasMassie,Thomas Massie,House,R,KY,South,East South Central
320,RepBrianMast,Brian Mast,House,R,FL,South,South Atlantic
321,DorisMatsui,Doris Matsui,House,D,CA,West,Pacific
322,RepLucyMcBath,Lucy McBath,House,D,GA,South,South Atlantic
323,GOPLeader,Kevin McCarthy,House,R,CA,West,Pacific
324,RepMcCaul,Michael McCaul,House,R,TX,South,West South Central
325,RepLisaMcClain,Lisa McClain,House,R,MI,Midwest,East North Central
326,BettyMcCollum04,Betty McCollum,House,D,MN,Midwest,West North Central
327,RepMcEachin,Donald McEachin,House,D,VA,South,South Atlantic
328,RepMcGovern,Jim McGovern,House,D,MA,Northeast,New England
329,PatrickMcHenry,Patrick McHenry,House,R,NC,South,South Atlantic
330,RepMcKinley,David McKinley,House,R,WV,South,South Atlantic
331,RepGregoryMeeks,Gregory Meeks,House,D,NY,Northeast,Middle Atlantic
332,RepMeijer,James Meijer,House,R,MI,Midwest,East North Central
333,RepGraceMeng,Grace Meng,House,D,NY,Northeast,Middle Atlantic
334,RepMeuser,Dan Meuser,House,R,PA,Northeast,Middle Atlantic
335,RepKweisiMfume,Kweisi Mfume,House,D,MD,South,South Atlantic
336,RepMMM,Marianette Miller-Meeks,House,R,IA,Midwest,West North Central
337,RepCarolMiller,Carol Miller,House,R,WV,South,South Atlantic
338,RepMaryMiller,Mary Miller,House,R,IL,Midwest,East North Central
339,RepAlexMooney,Alex Mooney,House,R,WV,South,South Atlantic
340,RepBarryMoore,Barry Moore,House,R,AL,South,East South Central
341,RepBlakeMoore,Blake Moore,House,R,UT,West,Mountain
342,RepGwenMoore,Gwen Moore,House,D,WI,Midwest,East North Central
343,RepJoeMorelle,Joe Morelle,House,D,NY,Northeast,Middle Atlantic
344,RepMullin,Markwayne Mullin,House,R,OK,South,West South Central
345,RepGregMurphy,Greg Murphy,House,R,NC,South,South Atlantic
346,RepStephMurphy,Stephanie Murphy,House,D,FL,South,South Atlantic
347,RepJerryNadler,Jerry Nadler,House,D,NY,Northeast,Middle Atlantic
348,gracenapolitano,Grace Napolitano,House,D,CA,West,Pacific
349,RepRichardNeal,Richard Neal,House,D,MA,Northeast,New England
350,RepJoeNeguse,Joe Neguse,House,D,CO,West,Mountain
351,RepTroyNehls,Troy Nehls,House,R,TX,South,West South Central
352,RepNewhouse,Dan Newhouse,House,R,WA,West,Pacific
353,RepMarieNewman,Marie Newman,House,D,IL,Midwest,East North Central
354,DonaldNorcross,Donald Norcross,House,D,NJ,Northeast,Middle Atlantic
355,RepRalphNorman,Ralph Norman,House,R,SC,South,South Atlantic
356,EleanorNorton,Eleanor Norton,House,D,DC,South,South Atlantic
357,RepOHalleran,Tom O'Halleran,House,D,AZ,West,Mountain
358,JayObernolte,Jay Obernolte,House,R,CA,West,Pacific
359,Ilhan,Ilhan Omar,House,D,MN,Midwest,West North Central
360,RepBurgessOwens,Burgess Owens,House,R,UT,West,Mountain
361,CongPalazzo,Steven Palazzo,House,R,MS,South,East South Central
362,FrankPallone,Frank Pallone,House,D,NJ,Northeast,Middle Atlantic
363,USRepGaryPalmer,Gary Palmer,House,R,AL,South,East South Central
364,RepJimmyPanetta,Jimmy Panetta,House,D,CA,West,Pacific
365,RepChrisPappas,Chris Pappas,House,D,NH,Northeast,New England
366,BillPascrell,Bill Pascrell,House,D,NJ,Northeast,Middle Atlantic
367,RepDonaldPayne,Donald Payne,House,D,NJ,Northeast,Middle Atlantic
368,SpeakerPelosi,Nancy Pelosi,House,D,CA,West,Pacific
369,RepPerlmutter,Ed Perlmutter,House,D,CO,West,Mountain
370,RepScottPeters,Scott Peters,House,D,CA,West,Pacific
371,RepPfluger,August Pfluger,House,R,TX,South,West South Central
372,RepDeanPhillips,Dean Phillips,House,D,MN,Midwest,West North Central
373,chelliepingree,Chellie Pingree,House,D,ME,Northeast,New England
374,StaceyPlaskett,Stacey Plaskett,House,D,VI,NA,NA
375,repmarkpocan,Mark Pocan,House,D,WI,Midwest,East North Central
376,RepKatiePorter,Katie Porter,House,D,CA,West,Pacific
377,RepPressley,Ayanna Pressley,House,D,MA,Northeast,New England
378,RepDavidEPrice,David Price,House,D,NC,South,South Atlantic
379,RepMikeQuigley,Mike Quigley,House,D,IL,Midwest,East North Central
380,RepRaskin,Jamie Raskin,House,D,MD,South,South Atlantic
381,GReschenthaler,Guy Reschenthaler,House,R,PA,Northeast,Middle Atlantic
382,RepKathleenRice,Kathleen Rice,House,D,NY,Northeast,Middle Atlantic
383,RepTomRice,Tom Rice,House,R,SC,South,South Atlantic
384,cathymcmorris,Cath McMorris Rodgers,House,R,WA,West,Pacific
385,RepMikeRogersAL,Mike Rogers,House,R,AL,South,East South Central
386,RepJohnRose,John Rose,House,R,TN,South,East South Central
387,RepRosendale,Matt Rosendale,House,R,MT,West,Mountain
388,RepDeborahRoss,Deborah Ross,House,D,NC,South,South Atlantic
389,RepDavidRouzer,David Rouzer,House,R,NC,South,South Atlantic
390,RepChipRoy,Chip Roy,House,R,TX,South,West South Central
391,RepRoybalAllard,Lucille Roybal-Allard,House,D,CA,West,Pacific
392,RepRaulRuizMD,Raul Ruiz,House,D,CA,West,Pacific
393,Call_Me_Dutch,Dutch Ruppersberger,House,D,MD,South,South Atlantic
394,RepBobbyRush,Bobby Rush,House,D,IL,Midwest,East North Central
395,RepTimRyan,Tim Ryan,House,D,OH,Midwest,East North Central
396,Kilili_Sablan,Gregoro Sablan,House,D,MP,NA,NA
397,RepMariaSalazar,Maria Salazar,House,R,FL,South,South Atlantic
